new entry "PETRIFIED"
type "StatusData"
data "StatusType" "INCAPACITATED"
// Petrified
data "DisplayName" "h379c1982g64e9g48d8gbd09g3850cdd24c22;1"
// Turned to stone. Can't move or take actions, bonus actions, or reactions. 
data "Description" "h12d93776gcc27g4165ga8cagfcb8f9d84fb4;2"
data "Icon" "Status_Petrified"
data "FormatColor" "Earth"
data "MaterialType" "FadingOverlay"
data "MaterialApplyBody" "Yes"
data "MaterialApplyArmor" "Yes"
data "MaterialApplyWeapon" "Yes"
data "MaterialApplyNormalMap" "Yes"
data "MaterialFadeAmount" "3000"
data "MaterialParameters" "CharacterHeight:Height"
data "AnimationLoop" "5f127742-79d4-4590-839f-6eb5ae45930d(REAC_Magic_External_Combat_01)"
data "AnimationEnd" "5f127742-79d4-4590-839f-6eb5ae45930d(REAC_Magic_External_Combat_01)"
data "StillAnimationType" "Petrified"
data "StillAnimationPriority" "Downed"
data "SoundLoop" "Misc_Status_Petrified_MO"
data "SoundStop" "Misc_Status_Petrified_MO"
data "FreezeTime" "1500"
data "Boosts" "Resistance(Piercing,Resistant);Resistance(Bludgeoning,Vulnerable);Resistance(Slashing,Resistant);Resistance(Acid,Vulnerable);Resistance(Cold,Resistant);Resistance(Fire,Resistant);Resistance(Force,Resistant);Resistance(Lightning,Immune);Resistance(Necrotic,Immune);Resistance(Poison,Immune);Resistance(Psychic,Immune);Resistance(Radiant,Immune);Resistance(Thunder,Vulnerable);Attribute(Grounded);StatusImmunity(SG_Poisoned);Advantage(AttackTarget);AbilityFailedSavingThrow(Strength);AbilityFailedSavingThrow(Dexterity);DetectDisturbancesBlock(true);Tag(BLOCK_PICKPOCKET);Tag(DOWNED_DISABLED);StatusImmunity(DISARM);DialogueBlock()"
data "StatusPropertyFlags" "InitiateCombat;IgnoreResting"
data "StatusGroups" "SG_Incapacitated;SG_Condition;SG_Petrified"
data "OnApplyFunctors" "BreakConcentration()"
data "OnRemoveFunctors" "IF(RemoveCause(StatusRemoveCause.Death)):SwitchDeathType(Disintegrate)"
data "StatusEffect" "164bf782-7f60-4b65-91b1-a31c152c05c3"
data "StatusSoundState" "dd94cbd2-99a4-4a03-9fa7-caa7886552d1"
