new entry "Projectile_CRE_BreweryKobolds_FirewineBelly_Explosion"
type "SpellData"
data "SpellType" "Projectile"
using "Projectile_CRE_BreweryKobolds_FirewineBelly_Explosion"
data "Level" ""
data "SpellSchool" ""
data "SpellProperties" "GROUND:SurfaceChange(Ignite);GROUND:SurfaceChange(Melt);GROUND:CreateSurface(3,4,Fire)"
data "TargetRadius" ""
data "ExplodeRadius" "6"
data "SpellRoll" "not SavingThrow(Ability.Dexterity, SourceSpellDC()) "
data "SpellSuccess" "DealDamage(4d6,Fire)"
data "SpellFail" "DealDamage(2d6,Fire)"
data "TargetConditions" ""
data "Trajectories" "f5855e43-2e8f-4971-b8c2-7faa36e3381b"
// Firewine Explosion
data "DisplayName" "hcb73c6a3g3f94g418bg8e9egee9a2ae1b414;2"
// Fire ignites the alcohol remaining in the corpse, creating an explosion.
data "Description" "h1f32f0dagbc60g48f5g976agf2cb6e1df9ac;3"
data "DescriptionParams" ""
data "ExtraDescription" ""
data "TooltipDamageList" "DealDamage(4d6,Fire)"
data "SpellFlags" "IsTrap;CanAreaDamageEvade;ImmediateCast"
data "MemoryCost" ""
