type,name,classification,file,line,declaration_sha256
PassiveData,BB_PiercingWind_Passive,differing declarations,GraphicFade_Patches.txt,29,ca92b954f63c06edec3a34f1c40586f311bca2f71ee9b13420a739ea949a2c8c
PassiveData,BB_PiercingWind_Passive,differing declarations,GraphicFade_Patches.txt,51,7e40418fbe1e8e048c3642a5d06616dca21e35a4efe8826e04dc062526206990
PassiveData,CSS_HelmArmor_Pass_Weavebane,differing declarations,Objects.txt,789,04503549a474057cd37fb597979ce4b7b9dcd3b6e53672da8b6e189b2d94bd99
PassiveData,CSS_HelmArmor_Pass_Weavebane,differing declarations,Objects.txt,828,7c7c1cef7e598ce9ed39e4d5a2724dd985f1359563c4cb5d022ec3911a253dc0
PassiveData,JWL_Passive_SymbolKelemvor,differing declarations,Discordant Instruments.txt,66,898f67a5153a0e819a1a71137c1695e1785dea92e6eeb77b81a4d6d0754a174e
PassiveData,JWL_Passive_SymbolKelemvor,differing declarations,GraphicFade_Patches.txt,1273,7d619db42a84b1acdf90ed62e0df79df705f37f997ab7a1ea6982f99c2167e71
PassiveData,MAG_Marsh_Strider_Passive,differing declarations,GraphicFade_Patches.txt,984,d68da98efeabd31813a7ee6e6ba95dddc93059a8bb361ceca6c9fc1eff5cab9b
PassiveData,MAG_Marsh_Strider_Passive,differing declarations,stolenDIQMiscPatches.txt,235,eec1dc35ac36cd2d0b497eb32ac96e0afcc647be7b8c193961ca90183206cf19
PassiveData,PP_FeastOnTheWounded_Passive,differing declarations,GraphicFade_Patches.txt,479,8e88e366cf04c9cd3f51945e0fe2ee1110831b22383722c09ae4050c2ce677a7
PassiveData,PP_FeastOnTheWounded_Passive,differing declarations,GraphicFade_Patches.txt,723,0acf605215dea3ac38a59290459165103783ecca0a71d8aaf20b53e04d8b32d8
SpellData,ProjectileStrike_ConjureVolley,identical declarations,SPELLS.txt,715,ff01915d1e83c7520a714371c21e595f43ccd96588615cf3e8bedf82fcc4b0cc
SpellData,ProjectileStrike_ConjureVolley,identical declarations,SPELLS.txt,721,ff01915d1e83c7520a714371c21e595f43ccd96588615cf3e8bedf82fcc4b0cc
SpellData,Projectile_ArrowOfSmokepowder,differing declarations,IMDCSpell_Projectile.txt,123,4b7f1a577b880a8d0ad7bf96876a1471d6014b91966ba19eb349fb5ceb981869
SpellData,Projectile_ArrowOfSmokepowder,differing declarations,Objects.txt,853,67acc32ceabe530ab04445e29a0db69e5872b56a674a4f9e3bb7233f13e0f853
SpellData,Projectile_EldritchBlast,differing declarations,Adjustable Shove-Pull Targeting patches.txt,46,691a133b89e9d7faf254481120c7e6967e86125ca14b48e28b27119abd7c8bef
SpellData,Projectile_EldritchBlast,differing declarations,SPELLS.txt,16,77f6330e9b71789b20f71e00f8406c6f44eda087a57675193ca5e770a11f8210
SpellData,Shout_HolyWeapon_Burst,differing declarations,SPELLS.txt,1841,52358c7c7cc58c427ec68b224e6bbcff716a08ffc73b8d9a45cf3258e0c5cff9
SpellData,Shout_HolyWeapon_Burst,differing declarations,SPELLS.txt,1858,12c36d1c503308e15746622d6b24a301b435599d60319bb2fb37d917e2871101
SpellData,Target_ATT_IncendiaryCloud_Recast,identical declarations,NPC_SPELLS.txt,94,7bd2456889870ae8f3166b6961458fda997a1bf75a668a2718ee3efa569a1d32
SpellData,Target_ATT_IncendiaryCloud_Recast,identical declarations,NPC_SPELLS.txt,104,7bd2456889870ae8f3166b6961458fda997a1bf75a668a2718ee3efa569a1d32
SpellData,Target_ConjureIntellectDevour,differing declarations,CompanionSummonSpells.txt,25,0b1fa7868583c4266b045c7e413171ad6b9eef8baca65f1adb06e345684b4bb0
SpellData,Target_ConjureIntellectDevour,differing declarations,SPELLS.txt,3201,f6b9ab6fc0d16b06f2594a4882daae4792ffb5fee3f38aaa1c6051f46be85e4a
SpellData,Target_DisarmingStrike,differing declarations,RandomCahootFixes.txt,21,bf571992216d4ffd598f77dd02f5dcd992acaed12262517094159fc20a48e7ab
SpellData,Target_DisarmingStrike,differing declarations,SPELLS.txt,3385,614ff6e9e51615405b744e46c51d4f5e681560af45308d02e212cf196b835469
SpellData,Target_ElementalWeapon_Acid_5,differing declarations,SPELLS.txt,3511,c8ad10912747e2c5f2623bb8ccb49db4a30b7f12e74235fedc9ab15826477465
SpellData,Target_ElementalWeapon_Acid_5,differing declarations,SPELLS.txt,3516,955b9a60debd6a033d3dbb135661913fc45b0e2087a4d9a6c274e7563cf3f29f
SpellData,Target_ElementalWeapon_Cold_5,differing declarations,SPELLS.txt,3587,2ef5a1798f8a943a47fe16132d09405e6a8bf065ebd1ee338d62d6a507e25e64
SpellData,Target_ElementalWeapon_Cold_5,differing declarations,SPELLS.txt,3592,a3de27c92bf8d5d3d9758af88bedda05c2ca0c7aa6023a99761d1a90b30e1494
SpellData,Target_ElementalWeapon_Fire_5,differing declarations,SPELLS.txt,3663,a3a80c24a9f903fba3b04c52934cfd6678e93ee0b4fa30e05980e49aae2f988f
SpellData,Target_ElementalWeapon_Fire_5,differing declarations,SPELLS.txt,3668,5c8afdccb72d0b6a6be0b74bab4f59231f6c05b09cc13578b40f2a534d2f3615
SpellData,Target_ElementalWeapon_Lightning_5,differing declarations,SPELLS.txt,3739,96ca95b8f601b7f933e2ebe5f87f86d0717ed91c7b570d502ab4f31d02d374bb
SpellData,Target_ElementalWeapon_Lightning_5,differing declarations,SPELLS.txt,3744,51988a2e8caaa6f4e06d2ec396c67df641a0e558cb583ee30a9acec59d67aac3
SpellData,Target_ElementalWeapon_Thunder_5,differing declarations,SPELLS.txt,3815,1354cc3c1be7119c664c2685b7f867d3fadd92b9ba501b710f76f9eceab24247
SpellData,Target_ElementalWeapon_Thunder_5,differing declarations,SPELLS.txt,3820,6a6d7e6931928c28a152f307edaa8abd99b8fd84e20f7f32c49b421b109d2110
SpellData,Target_FindFamiliar,differing declarations,SPELLS.txt,4085,e270c96e48e2ad060fb39758358350341de44623ad56e6e76cacd9029baf930f
SpellData,Target_FindFamiliar,differing declarations,SPELLS.txt,4093,b5870e4dd58b146587f8e14a3130038e7efca4f60c3921aa1b14716644e10301
SpellData,Target_FindFamiliar_Boo,differing declarations,CompanionSummonSpells.txt,33,a21e252e6e7efb3aedadca3eaa2ba16371ec42bbe1f53a363e5560bedb20e5ab
